,entity1,entity_1_type,entity2,entity_2_type,relation,sentence
207,Vitamin C,None,Vitamin,organic compound,subclass of,8 Some sources of Vitamin C Fig
208,Vitamin D,None,Vitamin,organic compound,subclass of,9 Some sources of Vitamin DTomatoOrangePapaya Carrot Mango WheatRice Green Chilli Fish EggLiver 2022 23 13 COMPONENTS OF FOOD for proper growth of body and to maintain good health
209,Mineral,chemical substance,Geology,academic discipline,part of,Some sources of different minerals are shown in Fig
210,Nutrient,chemical substance,Raw material,raw material,subclass of,However in a given raw material one particular nutrient may be present in much larger quantity than in others
211,Rice,food ingredient,Carbohydrate,structural class of chemical compounds,subclass of,Thus we say that rice is a ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽcarbohydrate richﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ so
212,Water,None,Nutrient,chemical substance,instance of,Besides these nutrients our body needs dietary fibr es and water
213,Dietary fiber,fiber,Roughage,fiber,subclass of,Dietary fibres are also known as roughage
214,Roughage,food,Food,disposable product,subclass of,Roughage is mainly provided by plant products in our foods
215,Potato,taxon,Vegetable,food,subclass of,Whole grains and pulses potatoes fresh fruits and vegetables are main sources of roughage
216,Vitamin D,None,Sunlight,light,subject has role,Our body also prepares Vitamin D in the presence of sunlight
217,Vitamin D deficiency,laboratory finding,Sunlight,light,facet of,Nowadays insufficient exposure to sunlight is causing Vitamin D deficiency in many people
218,Calcium,chemical element,Mineral,chemical substance,subclass of,10 Sources of some mineralsSome sources of calciumSome sources of ironSome sources of phosphorousSome sources of iodine Ginger 2022 23 14 SCIENCE think that what we need for a balanced diet would depend on the amount of physical work that we do Prepare a chart of whatever you eat over a period of a week
219,Idlis,food,Flour,food ingredient,subclass of,Pulses groundnut soyabean sprouted seeds moong and Bengal gram fermented foods South Indian foods such as idlis a combination of flours missi roti thepla made from cereals and pulses banana spinach sattu jaggery available vegetables and other such foods provide many nutrients
220,Diet (nutrition),nutrition,Nutrition,science,subclass of,Therefore one can eat a balanced diet without expensive food materials
221,Water milk,milk,Liquid,fluid,subclass of,Normally we get most of the water that our body needs from the liquids we drink ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ such as water milk a
223,Tomato,taxon,Fruit,plant organ,subclass of,Activity 3 Take a tomato or a fruit like lemon
224,Fruit,plant organ,Vegetable,food,different from,Do your hands get wet while doing so Carefully observe whenever vegetables and fruits are being cut peeled grated or mashed at your home
225,Vegetable,food,Food,disposable product,subclass of,Do you find any fresh vegetables or fruits that do not contain some amount of water We see that many food materials themselves contain water
226,Water,None,Body,animal organ,part of,T o some extent our body needs are met by this water
227,Water,None,Cooking,food preparation,part of,Apart fr om this we also add water while cooking many food items
228,Altered diet,diet,Diet (nutrition),nutrition,subclass of,3 B ALANCED DIET The food we normally eat in a day is our diet
229,Water,None,Roughage,food,subclass of,The diet should also contain a good amount of roughage and water
230,Balanced diet,diet,Diet (nutrition),nutrition,subclass of,Such a diet is called a balanced diet
231,Animal food,food,Diet (nutrition),nutrition,subclass of,Do you think that people of all ages need the same type of diet Do you alsoPaheli wonders whether animal food also consists of these different components and do they also need a balanced diet properly so that its nutrients are not lost
232,Vitamin,organic compound,Mineral,chemical substance,subclass of,Similarly repeated washing of rice and pulses may remove some vitamins and minerals present in them
233,Taste,perception,Food,disposable product,facet of,We all know that cooking impr oves the taste of food and makes it easier to digest
234,Food,disposable product,Nutrient,chemical substance,subclass of,At the same time cooking also results in the loss of certain nutrients
235,Protein,group or class of chemical substances,Mineral,chemical substance,subclass of,Many useful proteins and considerable amounts of minerals are lost if excess water is used during cooking and is then thrown away
236,Vitamin C,None,Vitamin,organic compound,instance of,Vitamin C gets easily destroyed by heat during cooking
237,Fruit,vegetable,Vegetable,food,subclass of,W ould it not be sensible to include some fruits and raw vegetables in our diet Boojho thought that fats would be the best foods to eat all the time
238,Malai rabdi,food,Poori cuisine,None,part of,A katori bowl of fat will give much more energy than a katori of carbohydrate rich food isnﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽt it So he ate nothing but food richin fats ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ fried food like samosa and poori snacks malai rabdi and p
240,4 D EFICIENCY DISEASES,disease,Disease,health problem,subclass of,4 D EFICIENCY DISEASES A person may be getting enough food to eat but sometimes the food may not contain a particular nutrient
241,HIV/AIDS,syndrome,Hypopoietic system disease,disease,symptoms,If this continues over a long period of time the person may suffer from its deficiency
242,Deficiency disease,laboratory finding,Disease,health problem,subclass of,Diseases that occur due to lack of nutrients over a long period are called deficiency diseases
243,Iarrhoea,skin disease,Skin condition,integumentary system disease,subclass of,If a person does not get enough proteins in his her food for a long time he she is likely to have stunted growth swelling of face discolouration of hair skin diseases and d iarrhoea
244,Protein,group or class of chemical substances,Carbohydrate,structural class of chemical compounds,subclass of,If the di et is deficient in both carbohydrates and proteins for a long period of time the growth may stop completely
245,Abel,angel in Christianity,Jesus,human biblical figure,subclass of,Such a person becomes very lean and thin and so weak that he she may not even be ab le to move
247,SCIENCE Table 2,table,SCIENCE (journal),scientific journal,part of,In this chapter we asked ourselves the reason why w idely varying food from different regions had a common 2022 23 16 SCIENCE Table 2
248,Vitamin,organic compound,Disease,health problem,subclass of, square6 square6 square6 square6 square6Vitamins help in protecting our body against diseases
249,Water,None,Nutrient,chemical substance,subclass of, square6 square6 square6 square6 square6Balanced diet provides all the nutrients that our body needs in right quantities along with adequate amount of r oughage and water
250,Canada,sovereign state,Ontario,province of Canada,contains administrative territorial entity,distribution
251,Nutrient,chemical substance,Food,disposable product,subclass of,This distribution we find ensures that our meals have a balance of the different nutrients needed by the body
252,Diet chart,diagram,Diet (nutrition),nutrition,use,Prepare a diet chart to provide balance diet to a twelve year old child
253,Food,disposable product,Diet (nutrition),nutrition,part of,The diet chart should include food items which are not expensive and are com monly available in your area
254,Cattle,organisms known by a particular common name,Animal food,food,this taxon is source of,Test the food usually eaten by cattle or a pet to find out which nutrients are present in animal food
255,Energy,physical quantity,Nutrient,chemical substance,subclass of,Name the following a The nutrients which mainly give energy to our body
256,Nutrient,chemical substance,Nutrition,science,part of, b The nutrients that are needed for the growth and maintenance of our body
257,Vitamin c,None,Vitamin,organic compound,instance of, c A vitamin required for maintaining good eyesight
258,Starch,food ingredient,Fat,mixture,subclass of,Name two foods each rich in a Fats b Starch c Dietary fibre d Protein 4
259,Tick ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ the statements that ar e co,statement,Statement,occurrence,instance of,Tick ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ the statements that ar e co
260,Rice,food ingredient,Nutrient,chemical substance,subclass of, a By eating rice alone we can fulfill nutritional requirement of our body
261,Vitamin D,None,Vitamin,organic compound,instance of, a  is caused by deficiency of Vitamin D
262,Beri beri,disease,Disease,health problem,subclass of, b Deficiency of  causes a disease known as beri beri
